,item,price,url
50,,350b,https://forums.eveonline.com/t/uniqs-officer-modules-nika-noiser-trade-hub/203290
51,titan bpos,NA,https://forums.eveonline.com/t/wts-titan-bpos/254062
52,cormack's modules wts cormack’s modified 100mn microwarpdrive,43b,https://forums.eveonline.com/t/wts-cormacks-modules/250338
53,cormack’s modified coprocessor,900 million,https://forums.eveonline.com/t/wts-cormacks-modules/250338
54,cormack’s modified explosive plating,200 million,https://forums.eveonline.com/t/wts-cormacks-modules/250338
55,multiple faction fortizars currently have moreau x2,60b,https://forums.eveonline.com/t/wts-multiple-faction-fortizars/254316
56,horizon x2,45b,https://forums.eveonline.com/t/wts-multiple-faction-fortizars/254316
57,,60b,https://forums.eveonline.com/t/wts-multiple-faction-fortizars/254316
58,horizon x2 45b marginis x1 60b draccous x1,28b,https://forums.eveonline.com/t/wts-multiple-faction-fortizars/254316
59,,60b,https://forums.eveonline.com/t/wts-multiple-faction-fortizars/254316
60,horizon x2,45b,https://forums.eveonline.com/t/wts-multiple-faction-fortizars/254316
61,,60b,https://forums.eveonline.com/t/wts-multiple-faction-fortizars/254316
62,horizon x2,45b,https://forums.eveonline.com/t/wts-multiple-faction-fortizars/254316
63,,60b,https://forums.eveonline.com/t/wts-multiple-faction-fortizars/254316
64,tatara bpo selling tatara bpo researched me7 te10 asking,27b,https://forums.eveonline.com/t/wts-tatara-bpo/248180
65,chremoas hull & avatar/ nyx / hel bpos i’m to lazy to make multiple buy sell threads so i’m going to wrap it all up in here feel free to post in the thread i check evemail far more often though alternative discord flores1200 wts chremoas hull,425b,https://forums.eveonline.com/t/wts-chremoas-at-hull-wts-avatar-nyx-hel-bpos/245083
66,last few sold were between,405450b,https://forums.eveonline.com/t/wts-chremoas-at-hull-wts-avatar-nyx-hel-bpos/245083
67,– once hull is sold i will post the zeus abyssal fit to sell hel me8,23b,https://forums.eveonline.com/t/wts-chremoas-at-hull-wts-avatar-nyx-hel-bpos/245083
68,nyx me8,21b,https://forums.eveonline.com/t/wts-chremoas-at-hull-wts-avatar-nyx-hel-bpos/245083
69,avatar me6,65b,https://forums.eveonline.com/t/wts-chremoas-at-hull-wts-avatar-nyx-hel-bpos/245083
70,,10b,https://forums.eveonline.com/t/wts-chremoas-at-hull-wts-avatar-nyx-hel-bpos/245083
71,below npc research wtb blueprints archon me10 x1 chimera me10 x1bump and edited the wtbbump looking for morebumppyybump wts updated wtb updated chrem top bid,390b,https://forums.eveonline.com/t/wts-chremoas-at-hull-wts-avatar-nyx-hel-bpos/245083
72,,390b,https://forums.eveonline.com/t/wts-chremoas-at-hull-wts-avatar-nyx-hel-bpos/245083
73,erebus hull t2 rigged basgerin,NA,https://forums.eveonline.com/t/wts-erebus-hull-t2-rigged-in-basgerin/253918
74,chemosh sold,30b,https://forums.eveonline.com/t/wts-chemosh-sold-30b/253462
75,wts chemosh hull in the north asking,35b,https://forums.eveonline.com/t/wts-chemosh-sold-30b/253462
76,,30b,https://forums.eveonline.com/t/wts-chemosh-sold-30b/253462
77,rabisu ship -,275b,https://forums.eveonline.com/t/wts-rabisu-at-ship-275b/251311
78,,275b,https://forums.eveonline.com/t/wts-rabisu-at-ship-275b/251311
79,vendetta basgerin located in basgerin npc station price,105b,https://forums.eveonline.com/t/wts-vendetta-basgerin/253615
80,molok bpc,425b,https://forums.eveonline.com/t/wts-molok-bpc-425b-komodo-bpc-325b/247261
81,& komodo bpc,325b,https://forums.eveonline.com/t/wts-molok-bpc-425b-komodo-bpc-325b/247261
82,,425b,https://forums.eveonline.com/t/wts-molok-bpc-425b-komodo-bpc-325b/247261
83,& komodo bpc,325b,https://forums.eveonline.com/t/wts-molok-bpc-425b-komodo-bpc-325b/247261
84,,325b,https://forums.eveonline.com/t/wts-molok-bpc-425b-komodo-bpc-325b/247261
85,ahremen's modified large emp smartbomb located in jita 44 current asking price is,7 bil,https://forums.eveonline.com/t/wts-ahremens-modified-large-emp-smartbomb/254339
86,officer mods wts brokara’s modified explosive armor hardener ahremen’s modified energized adaptive nano membrane vizan’s modified heavy capacitor booster x 2 brokara’s modified capacitor power relay raysere’s modified capacitor power relay raysere’s modified cap recharger brokara’s modified heavy energy neutralizer selynne’s modified heavy energy neutralizer brokara’s modified heavy energy nosferatu chelm’s modified heavy energy nosferatu selynne’s modified large emp smartbomb x 2 mizuro’s modified stasis webifier brynn’s modified tracking computer x 2 mizuro’s modified tracking enhancer x 3ok dealok deal on the ahremen’s modified energized adaptive nano membrane,35b,https://forums.eveonline.com/t/wts-officer-mods/252455
87,c4 fitted astrahus,NA,https://forums.eveonline.com/t/wts-c4-with-fitted-astrahus/255380
88,legacy drake cane the hurricane has 8 highslots filled and large rigs image664×673 138 kb the drake has 7 launcher slots filled and large rigs image659×673 142 kb both of them are in a npc station in npc null pm me for details,2b,https://forums.eveonline.com/t/wts-legacy-drake-and-cane/251778
89,each,35b,https://forums.eveonline.com/t/wts-legacy-drake-and-cane/251778
90,fiend,NA,https://forums.eveonline.com/t/wts-fiend/252894
91,wth 10/20 eos bpo yup you read it right a rare highly profitable eos bpo is on the net now hypernet offer eos blueprint available at the competitive price of,49999m,https://forums.eveonline.com/t/wth-10-20-eos-bpo/255482
92,horizon fortizar price is,47b,https://forums.eveonline.com/t/wts-horizon-fortizar/248577
93,tuvan's modified reactor control unit (officer mod),NA,https://forums.eveonline.com/t/wts-tuvans-modified-reactor-control-unit-officer-mod/245958
94,ccp burger torvald uruz corpse / video,NA,https://forums.eveonline.com/t/ccp-burger-and-torvald-uruz-corpse-video/255636
95,"wts: ""rare"" & ""uncommon"" skins hello all selling some expensive and notsoexpensive skins take a look and if you are interested post below or message me lower then jita price on all of them rareexpensive skins bloodyhands2558×598 446 kb bloody hands skins hel",6b,https://forums.eveonline.com/t/wts-rare-uncommon-skins/250735
96,nidhoggur,4b,https://forums.eveonline.com/t/wts-rare-uncommon-skins/250735
97,panther,3b,https://forums.eveonline.com/t/wts-rare-uncommon-skins/250735
98,yoiul festival skins yo1310×1408 534 kb ark accepting offers minokawa accepting offers sleipiner sold nyx813×508 245 mb nyx federal police skin,45b,https://forums.eveonline.com/t/wts-rare-uncommon-skins/250735
99,uncommonmore reasonably priced skins revelation sarum,600m,https://forums.eveonline.com/t/wts-rare-uncommon-skins/250735
100,minokawa matigu,150m,https://forums.eveonline.com/t/wts-rare-uncommon-skins/250735
101,,50m,https://forums.eveonline.com/t/wts-rare-uncommon-skins/250735
102,naglfar justice 50m rorqual digmaster,80m,https://forums.eveonline.com/t/wts-rare-uncommon-skins/250735
103,rhea raata sunset,125m,https://forums.eveonline.com/t/wts-rare-uncommon-skins/250735
104,,150m,https://forums.eveonline.com/t/wts-rare-uncommon-skins/250735
105,naglfar justice 50m rorqual digmaster 80m rhea raata sunset,125m,https://forums.eveonline.com/t/wts-rare-uncommon-skins/250735
106,thanatos serpentis 150m apocalypse khanid 125m megathron ruby,100m,https://forums.eveonline.com/t/wts-rare-uncommon-skins/250735
107,hulk lodestrike,300m,https://forums.eveonline.com/t/wts-rare-uncommon-skins/250735
108,wyvern khanid npc station wyvern hull in ls station in khanid price,175b,https://forums.eveonline.com/t/wts-wyvern-in-khanid-npc-station/254550
109,officer modules gotan’s modified cruise missile launcher,249 bil,https://forums.eveonline.com/t/wts-officer-modules/247118
110,tobias’ modified large proton smartbomb,13 bil,https://forums.eveonline.com/t/wts-officer-modules/247118
111,tobias’ modified cruise missile launcher,45 bil,https://forums.eveonline.com/t/wts-officer-modules/247118
112,gotan’s modified rapid heavy missile launcher,18 bil,https://forums.eveonline.com/t/wts-officer-modules/247118
113,21.05km web wts hakim rolled web almost max rolled on range mutaplasmidspace alduin daveham1s modified abyssal stasis webifier optimal range 210528 m powergrid usage 17500 mw cpu usage 264 tf maximum velocity bonus 542 activation cost 324 gj gimme those offersi am glad that i was very drunk lets leave it at thatbump where are the molok pilotsbuyout,35b,https://forums.eveonline.com/t/wts-21-05km-web/247878
114,faction dreads,NA,https://forums.eveonline.com/t/wts-faction-dreads/225132
115,capital bpo ship sets many others perimeter/jita,NA,https://forums.eveonline.com/t/wts-capital-bpo-ship-sets-and-many-others-in-perimeter-jita/234403
116,hydra as title states get yourself a pocket blackhole laser space projector located in lowsec station pm me with prices looking for offers above,170 bil,https://forums.eveonline.com/t/wts-hydra/235773
117,200 x large skill injectors jitaperimeter price for each,690m,https://forums.eveonline.com/t/wts-200-x-large-skill-injectors/254295
118,vehement domain vehement in ls station in domain price,33b,https://forums.eveonline.com/t/wts-vehement-in-domain/248595
119,misc. items 1dh-sx special weekend offer,3b,https://forums.eveonline.com/t/wts-misc-items-in-1dh-sx/255518
120,virtuoso sale,NA,https://forums.eveonline.com/t/virtuoso-for-sale/241119
121,keepstar bpo me9 -,700b,https://forums.eveonline.com/t/wts-keepstar-bpo-me9-700b/249089
122,,700b,https://forums.eveonline.com/t/wts-keepstar-bpo-me9-700b/249089
123,large skill injector x84 wts large skill injectors,700m,https://forums.eveonline.com/t/wts-large-skill-injector-x84/255475
124,misc. items 1dq https://evepraisal.com/a/uky1c looking for,50 bil,https://forums.eveonline.com/t/wts-misc-items-in-1dq/255006
125,for the lot price is negotiablei would like the price to be closer to 50bump down to 47 bilmeet you in the middle at 45bump 45 bilto0be,43 bil,https://forums.eveonline.com/t/wts-misc-items-in-1dq/255006
126,whiptail assembled and unfit located in amarr highsec looking for,300b,https://forums.eveonline.com/t/wts-whiptail/254492
127,hel low sec,NA,https://forums.eveonline.com/t/wts-hel-in-low-sec/254919
128,triglavian officer mod's,NA,https://forums.eveonline.com/t/wts-triglavian-officer-mods/219683
129,"loggerhead, chemosh dagon bpc! as per title",30b,https://forums.eveonline.com/t/wts-loggerhead-chemosh-and-dagon-bpc/253921
130,for loggerhead bpc,35b,https://forums.eveonline.com/t/wts-loggerhead-chemosh-and-dagon-bpc/253921
131,for chemosh bpc,26b,https://forums.eveonline.com/t/wts-loggerhead-chemosh-and-dagon-bpc/253921
132,silver magnate,NA,https://forums.eveonline.com/t/wts-silver-magnate/253500
133,revenant blueprint,100b,https://forums.eveonline.com/t/wts-revenant-blueprint/255001
134,large bpo collection - added prices i would like to sell them off in as big a chunks as you’re happy to buy mail me or chat me in game with offers i will try to keep an eye here too all blueprint are located in jita iv moon 10 caldari constructions production plant bpo’s all 1020 fuel blocks,20m,https://forums.eveonline.com/t/wts-large-bpo-collection-added-prices/254346
135,each helium fuel block blueprint 306 hydrogen fuel block blueprint 307 nitrogen fuel block blueprint 223 oxygen fuel block blueprint 238 ships cruisersfrigates cruisers,200m,https://forums.eveonline.com/t/wts-large-bpo-collection-added-prices/254346
136,each frigates offers augoror blueprint 3 celestis blueprint 2 condor blueprint 1 exequror blueprint 17 heron blueprint 5 maller blueprint 4 merlin blueprint 3 moa blueprint 3 omen blueprint 4 osprey blueprint 13 rupture blueprint 1 scythe blueprint 10 stabber blueprint 4 thorax blueprint 3 vexor blueprint 1 advanced components,15m,https://forums.eveonline.com/t/wts-large-bpo-collection-added-prices/254346
137,officer abyssal stuff (66% web etc.) all a bit under a jita zorya’s heavy entropic disintegrator,7b,https://forums.eveonline.com/t/wts-officer-and-abyssal-stuff-66-web-etc/253062
138,brokara’s modified power diagnostic system,18b,https://forums.eveonline.com/t/wts-officer-and-abyssal-stuff-66-web-etc/253062
139,vepas’ modified multispectral ecm x2,15b,https://forums.eveonline.com/t/wts-officer-and-abyssal-stuff-66-web-etc/253062
140,each unit d34343’s modified damage control,68b,https://forums.eveonline.com/t/wts-officer-and-abyssal-stuff-66-web-etc/253062
141,vepas’ modified coprocessor 800mill kaikka’s modified cloaking device,14b,https://forums.eveonline.com/t/wts-officer-and-abyssal-stuff-66-web-etc/253062
142,plush glossy compound have around,500k,https://forums.eveonline.com/t/wts-plush-and-glossy-compound/252737
143,rorqual bpo 8/14 (cheapest),39b,https://forums.eveonline.com/t/rorqual-bpo-8-14-cheapest/252026
144,sotiyo - low sec base - cheap,22b,https://forums.eveonline.com/t/wts-sotiyo-low-sec-base-cheap/253967
145,thon's modified cruise missile launcher x2 wts thon’s modified cruise missile launcher x2 located in jita to keep from wasting peoples time minimum offer to be considered set to 4beach post offers here or via evemailto the topbumpto the topbumpbumpto the topbumpto the topbumpto the topbumpto the topto the to,35b,https://forums.eveonline.com/t/wts-thons-modified-cruise-missile-launcher-x2/249500
